protein	gene	uniprot	version	panel	sumstat_dir	chr	tss	gene_start	gene_end	strand	gene_id	annotation_matches	annotation_status	resource_source
OID31228	PAIP2B	Q9ULR5	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PAIP2B_Q9ULR5_OID31228_v1_Oncology_II	2	71227083	71182739	71227083	-1	ENSG00000124374	1	unique_match	UKBB_EUR
OID31229	IL3	P08700	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/IL3_P08700_OID31229_v1_Oncology_II	5	132060529	132060529	132063204	1	ENSG00000164399	1	unique_match	UKBB_EUR
OID31230	ATP1B4	Q9UN42	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ATP1B4_Q9UN42_OID31230_v1_Oncology_II	23	120362085	120362085	120383249	1	ENSG00000101892	1	unique_match	UKBB_EUR
OID31231	DCUN1D2	Q6PH85	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/DCUN1D2_Q6PH85_OID31231_v1_Oncology_II	13	113490952	113455819	113490952	-1	ENSG00000150401	1	unique_match	UKBB_EUR
OID31232	H2AP	O75409	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/H2AP_O75409_OID31232_v1_Oncology_II							0	missing	UKBB_EUR
OID31233	TOP1MT	Q969P6	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TOP1MT_Q969P6_OID31233_v1_Oncology_II	8	143359979	143304384	143359979	-1	ENSG00000184428	1	unique_match	UKBB_EUR
OID31234	TPRKB	Q9Y3C4	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TPRKB_Q9Y3C4_OID31234_v1_Oncology_II	2	73737400	73729104	73737400	-1	ENSG00000144034	1	unique_match	UKBB_EUR
OID31235	DCDC2C	A8MYV0	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/DCDC2C_A8MYV0_OID31235_v1_Oncology_II	2	3703592	3703592	3847408	1	ENSG00000214866	1	unique_match	UKBB_EUR
OID31236	RBM25	P49756	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/RBM25_P49756_OID31236_v1_Oncology_II	14	73058436	73058436	73123898	1	ENSG00000119707	1	unique_match	UKBB_EUR
OID31237	BTLA	Q7Z6A9	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/BTLA_Q7Z6A9_OID31237_v1_Oncology_II	3	112499561	112463968	112499561	-1	ENSG00000186265	1	unique_match	UKBB_EUR
OID31238	THAP12	O43422	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/THAP12_O43422_OID31238_v1_Oncology_II	11	76380971	76349956	76380971	-1	ENSG00000137492	1	unique_match	UKBB_EUR
OID31239	MRPL52	Q86TS9	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MRPL52_Q86TS9_OID31239_v1_Oncology_II	14	22829879	22829879	22835037	1	ENSG00000172590	1	unique_match	UKBB_EUR
OID31240	DCLRE1C	Q96SD1	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/DCLRE1C_Q96SD1_OID31240_v1_Oncology_II	10	14954432	14897359	14954432	-1	ENSG00000152457	2	multi_match_first	UKBB_EUR
OID31241	FGF7	P21781	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/FGF7_P21781_OID31241_v1_Oncology_II	15	49423096	49423096	49488775	1	ENSG00000140285	1	unique_match	UKBB_EUR
OID31242	CDC123	O75794	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CDC123_O75794_OID31242_v1_Oncology_II	10	12195965	12195965	12250589	1	ENSG00000151465	1	unique_match	UKBB_EUR
OID31243	IL25	Q9H293	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/IL25_Q9H293_OID31243_v1_Oncology_II	14	23372809	23372809	23376403	1	ENSG00000166090	1	unique_match	UKBB_EUR
OID31244	MANEAL	Q5VSG8	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MANEAL_Q5VSG8_OID31244_v1_Oncology_II	1	37793802	37793802	37801137	1	ENSG00000185090	1	unique_match	UKBB_EUR
OID31245	KHDC3L	Q587J8	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/KHDC3L_Q587J8_OID31245_v1_Oncology_II	6	73362677	73362677	73364171	1	ENSG00000203908	1	unique_match	UKBB_EUR
OID31246	TMOD4	Q9NZQ9	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TMOD4_Q9NZQ9_OID31246_v1_Oncology_II	1	151176284	151169986	151176284	-1	ENSG00000163157	1	unique_match	UKBB_EUR
OID31247	CEP350	Q5VT06	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CEP350_Q5VT06_OID31247_v1_Oncology_II	1	179954738	179954738	180114880	1	ENSG00000135837	1	unique_match	UKBB_EUR
OID31248	REST	Q13127	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/REST_Q13127_OID31248_v1_Oncology_II	4	56907876	56907876	56935844	1	ENSG00000084093	1	unique_match	UKBB_EUR
OID31249	CEP152	O94986	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CEP152_O94986_OID31249_v1_Oncology_II	15	48811146	48712928	48811146	-1	ENSG00000103995	1	unique_match	UKBB_EUR
OID31250	NEK7	Q8TDX7	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NEK7_Q8TDX7_OID31250_v1_Oncology_II	1	198156963	198156963	198322420	1	ENSG00000151414	1	unique_match	UKBB_EUR
OID31251	CEACAM18	A8MTB9	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CEACAM18_A8MTB9_OID31251_v1_Oncology_II	19	51478622	51478622	51490952	1	ENSG00000213822	1	unique_match	UKBB_EUR
OID31252	EPN1	Q9Y6I3	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/EPN1_Q9Y6I3_OID31252_v1_Oncology_II	19	55675226	55675226	55709858	1	ENSG00000063245	1	unique_match	UKBB_EUR
OID31253	GABARAPL1	Q9H0R8	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GABARAPL1_Q9H0R8_OID31253_v1_Oncology_II	12	10212458	10212458	10223130	1	ENSG00000139112	1	unique_match	UKBB_EUR
OID31254	RAD51	Q06609	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/RAD51_Q06609_OID31254_v1_Oncology_II	15	40694774	40694774	40732339	1	ENSG00000051180	1	unique_match	UKBB_EUR
OID31255	COL9A2	Q14055	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/COL9A2_Q14055_OID31255_v1_Oncology_II	1	40317816	40300487	40317816	-1	ENSG00000049089	1	unique_match	UKBB_EUR
OID31256	CD82	P27701	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CD82_P27701_OID31256_v1_Oncology_II	11	44564427	44564427	44620363	1	ENSG00000085117	1	unique_match	UKBB_EUR
OID31257	MORF4L1	Q9UBU8	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MORF4L1_Q9UBU8_OID31257_v1_Oncology_II	15	78810487	78810487	78898133	1	ENSG00000185787	1	unique_match	UKBB_EUR
OID31258	NFKB2	Q00653	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/NFKB2_Q00653_OID31258_v1_Oncology_II	10	102394110	102394110	102402529	1	ENSG00000077150	1	unique_match	UKBB_EUR
OID31259	BRD1	O95696	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/BRD1_O95696_OID31259_v1_Oncology_II	22	49827512	49773283	49827512	-1	ENSG00000100425	1	unique_match	UKBB_EUR
OID31260	ARAF	P10398	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ARAF_P10398_OID31260_v1_Oncology_II	23	47561100	47561100	47571920	1	ENSG00000078061	1	unique_match	UKBB_EUR
OID31261	GADD45B	O75293	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GADD45B_O75293_OID31261_v1_Oncology_II	19	2476122	2476122	2478259	1	ENSG00000099860	1	unique_match	UKBB_EUR
OID31262	TXK	P42681	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TXK_P42681_OID31262_v1_Oncology_II	4	48134256	48066393	48134256	-1	ENSG00000074966	1	unique_match	UKBB_EUR
OID31263	HRAS	P01112	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/HRAS_P01112_OID31263_v1_Oncology_II	11	537287	532242	537287	-1	ENSG00000174775	1	unique_match	UKBB_EUR
OID31264	GTF2IRD1	Q9UHL9	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GTF2IRD1_Q9UHL9_OID31264_v1_Oncology_II	7	74453790	74453790	74602604	1	ENSG00000006704	1	unique_match	UKBB_EUR
OID31265	CA7	P43166	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CA7_P43166_OID31265_v1_Oncology_II	16	66844379	66844379	66854153	1	ENSG00000168748	1	unique_match	UKBB_EUR
OID31266	TET2	Q6N021	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TET2_Q6N021_OID31266_v1_Oncology_II	4	105145875	105145875	105279816	1	ENSG00000168769	2	multi_match_first	UKBB_EUR
OID31267	TCP11	Q8WWU5	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TCP11_Q8WWU5_OID31267_v1_Oncology_II	6	35148610	35118071	35148610	-1	ENSG00000124678	1	unique_match	UKBB_EUR
OID31268	OFD1	O75665	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/OFD1_O75665_OID31268_v1_Oncology_II	23	13734745	13734745	13769353	1	ENSG00000046651	1	unique_match	UKBB_EUR
OID31269	LSM8	O95777	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/LSM8_O95777_OID31269_v1_Oncology_II	7	118184032	118184032	118192824	1	ENSG00000128534	1	unique_match	UKBB_EUR
OID31270	PRUNE2	Q8WUY3	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PRUNE2_Q8WUY3_OID31270_v1_Oncology_II	9	76906087	76611376	76906087	-1	ENSG00000106772	1	unique_match	UKBB_EUR
OID31271	TRIM24	O15164	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TRIM24_O15164_OID31271_v1_Oncology_II	7	138460334	138460334	138589993	1	ENSG00000122779	1	unique_match	UKBB_EUR
OID31272	VSTM2B	A6NLU5	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/VSTM2B_A6NLU5_OID31272_v1_Oncology_II	19	29526499	29526499	29564479	1	ENSG00000187135	1	unique_match	UKBB_EUR
OID31273	VPS28	Q9UK41	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/VPS28_Q9UK41_OID31273_v1_Oncology_II	8	144428563	144423601	144428563	-1	ENSG00000160948	1	unique_match	UKBB_EUR
OID31274	TPPP2	P59282	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TPPP2_P59282_OID31274_v1_Oncology_II	14	21024109	21024109	21036276	1	ENSG00000179636	1	unique_match	UKBB_EUR
OID31275	ALMS1	Q8TCU4	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ALMS1_Q8TCU4_OID31275_v1_Oncology_II	2	73385758	73385758	73610793	1	ENSG00000116127	1	unique_match	UKBB_EUR
OID31276	CASP4	P49662	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CASP4_P49662_OID31276_v1_Oncology_II	11	104969436	104942866	104969436	-1	ENSG00000196954	1	unique_match	UKBB_EUR
OID31277	ACADM	P11310	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ACADM_P11310_OID31277_v1_Oncology_II	1	75724347	75724347	75787575	1	ENSG00000117054	1	unique_match	UKBB_EUR
OID31278	TMED1	Q13445	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TMED1_Q13445_OID31278_v1_Oncology_II	19	10836318	10832438	10836318	-1	ENSG00000099203	1	unique_match	UKBB_EUR
OID31279	PPIE	Q9UNP9	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PPIE_Q9UNP9_OID31279_v1_Oncology_II	1	39692182	39692182	39763914	1	ENSG00000084072	1	unique_match	UKBB_EUR
OID31280	TEX33	O43247	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TEX33_O43247_OID31280_v1_Oncology_II	22	37007841	36991120	37007841	-1	ENSG00000185264	1	unique_match	UKBB_EUR
OID31281	UPK3BL1	B0FP48	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/UPK3BL1_B0FP48_OID31281_v1_Oncology_II							0	missing	UKBB_EUR
OID31282	SLK	Q9H2G2	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SLK_Q9H2G2_OID31282_v1_Oncology_II	10	103967201	103967201	104029233	1	ENSG00000065613	1	unique_match	UKBB_EUR
OID31283	IFIT3	O14879	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/IFIT3_O14879_OID31283_v1_Oncology_II	10	89327894	89327894	89340971	1	ENSG00000119917	1	unique_match	UKBB_EUR
OID31284	ID4	P47928	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ID4_P47928_OID31284_v1_Oncology_II	6	19837386	19837386	19840684	1	ENSG00000172201	1	unique_match	UKBB_EUR
OID31285	GAS2	O43903	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GAS2_O43903_OID31285_v1_Oncology_II	11	22625642	22625642	22813055	1	ENSG00000148935	1	unique_match	UKBB_EUR
OID31286	PAFAH2	Q99487	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PAFAH2_Q99487_OID31286_v1_Oncology_II	1	25998157	25959767	25998157	-1	ENSG00000158006	1	unique_match	UKBB_EUR
OID31287	CEP290	O15078	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CEP290_O15078_OID31287_v1_Oncology_II	12	88142216	88049014	88142216	-1	ENSG00000198707	1	unique_match	UKBB_EUR
OID31288	SEPTIN7	Q16181	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SEPTIN7_Q16181_OID31288_v1_Oncology_II							0	missing	UKBB_EUR
OID31289	TAP1	Q03518	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TAP1_Q03518_OID31289_v1_Oncology_II	6	32853978	32845209	32853978	-1	ENSG00000168394	1	unique_match	UKBB_EUR
OID31290	TLR2	O60603	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TLR2_O60603_OID31290_v1_Oncology_II	4	153701500	153701500	153705699	1	ENSG00000137462	1	unique_match	UKBB_EUR
OID31291	RNF43	Q68DV7	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/RNF43_Q68DV7_OID31291_v1_Oncology_II	17	58417595	58352500	58417595	-1	ENSG00000108375	2	multi_match_first	UKBB_EUR
OID31292	SHPK	Q9UHJ6	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SHPK_Q9UHJ6_OID31292_v1_Oncology_II	17	3636322	3608262	3636322	-1	ENSG00000197417	1	unique_match	UKBB_EUR
OID31293	MAPKAPK2	P49137	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MAPKAPK2_P49137_OID31293_v1_Oncology_II	1	206684944	206684944	206734283	1	ENSG00000162889	1	unique_match	UKBB_EUR
OID31294	TK1	P04183	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TK1_P04183_OID31294_v1_Oncology_II	17	78187233	78174075	78187233	-1	ENSG00000167900	1	unique_match	UKBB_EUR
OID31295	FUT1	P19526	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/FUT1_P19526_OID31295_v1_Oncology_II	19	48755390	48748011	48755390	-1	ENSG00000174951	1	unique_match	UKBB_EUR
OID31296	SPRR1B	P22528	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SPRR1B_P22528_OID31296_v1_Oncology_II	1	153031202	153031202	153032900	1	ENSG00000169469	1	unique_match	UKBB_EUR
OID31297	RGL2	O15211	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/RGL2_O15211_OID31297_v1_Oncology_II	6	33299324	33291654	33299324	-1	ENSG00000237441	1	unique_match	UKBB_EUR
OID31298	IL9	P15248	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/IL9_P15248_OID31298_v1_Oncology_II	5	135895827	135892246	135895827	-1	ENSG00000145839	1	unique_match	UKBB_EUR
OID31300	OGT	O15294	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/OGT_O15294_OID31300_v1_Oncology_II	23	71533083	71533083	71575897	1	ENSG00000147162	1	unique_match	UKBB_EUR
OID31301	PARD3	Q8TEW0	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PARD3_Q8TEW0_OID31301_v1_Oncology_II	10	34815325	34109560	34815325	-1	ENSG00000148498	1	unique_match	UKBB_EUR
OID31302	CD3E	P07766	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CD3E_P07766_OID31302_v1_Oncology_II	11	118304545	118304545	118316175	1	ENSG00000198851	2	multi_match_first	UKBB_EUR
OID31303	ZNF75D	P51815	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ZNF75D_P51815_OID31303_v1_Oncology_II	23	135344087	135248920	135344087	-1	ENSG00000186376	1	unique_match	UKBB_EUR
OID31304	PPP1R12B	O60237	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PPP1R12B_O60237_OID31304_v1_Oncology_II	1	202348699	202348699	202592706	1	ENSG00000077157	1	unique_match	UKBB_EUR
OID31305	MTHFSD	Q2M296	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MTHFSD_Q2M296_OID31305_v1_Oncology_II	16	86555235	86530176	86555235	-1	ENSG00000103248	1	unique_match	UKBB_EUR
OID31306	SAT2	Q96F10	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SAT2_Q96F10_OID31306_v1_Oncology_II	17	7627876	7626234	7627876	-1	ENSG00000141504	1	unique_match	UKBB_EUR
OID31307	KIAA1549	Q9HCM3	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/KIAA1549_Q9HCM3_OID31307_v1_Oncology_II	7	138981318	138831381	138981318	-1	ENSG00000122778	1	unique_match	UKBB_EUR
OID31308	CEACAM20	Q6UY09	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CEACAM20_Q6UY09_OID31308_v1_Oncology_II	19	44529788	44501677	44529788	-1	ENSG00000273777	1	unique_match	UKBB_EUR
OID31309	EVPL	Q92817	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/EVPL_Q92817_OID31309_v1_Oncology_II	17	76027452	76004502	76027452	-1	ENSG00000167880	1	unique_match	UKBB_EUR
OID31310	IFIT1	P09914	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/IFIT1_P09914_OID31310_v1_Oncology_II	10	89392546	89392546	89406486	1	ENSG00000185745	1	unique_match	UKBB_EUR
OID31311	PKN3	Q6P5Z2	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PKN3_Q6P5Z2_OID31311_v1_Oncology_II	9	128702523	128702523	128720918	1	ENSG00000160447	1	unique_match	UKBB_EUR
OID31312	KIAA1549L	Q6ZVL6	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/KIAA1549L_Q6ZVL6_OID31312_v1_Oncology_II	11	33542072	33542072	33674102	1	ENSG00000110427	1	unique_match	UKBB_EUR
OID31313	EFCAB2	Q5VUJ9	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/EFCAB2_Q5VUJ9_OID31313_v1_Oncology_II	1	244969705	244969705	245127164	1	ENSG00000203666	1	unique_match	UKBB_EUR
OID31314	CENPJ	Q9HC77	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CENPJ_Q9HC77_OID31314_v1_Oncology_II	13	24922889	24882284	24922889	-1	ENSG00000151849	1	unique_match	UKBB_EUR
OID31315	MTUS1	Q9ULD2	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MTUS1_Q9ULD2_OID31315_v1_Oncology_II	8	17800917	17643795	17800917	-1	ENSG00000129422	1	unique_match	UKBB_EUR
OID31316	CCND2	P30279	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CCND2_P30279_OID31316_v1_Oncology_II	12	4273772	4273772	4305350	1	ENSG00000118971	1	unique_match	UKBB_EUR
OID31317	ERI1	Q8IV48	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ERI1_Q8IV48_OID31317_v1_Oncology_II	8	9002147	9002147	9116746	1	ENSG00000104626	1	unique_match	UKBB_EUR
OID31318	GUCY2C	P25092	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GUCY2C_P25092_OID31318_v1_Oncology_II	12	14696585	14612632	14696585	-1	ENSG00000070019	1	unique_match	UKBB_EUR
OID31319	TAB2	Q9NYJ8	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TAB2_Q9NYJ8_OID31319_v1_Oncology_II	6	149218641	149218641	149411613	1	ENSG00000055208	1	unique_match	UKBB_EUR
OID31320	TIGIT	Q495A1	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TIGIT_Q495A1_OID31320_v1_Oncology_II	3	114276913	114276913	114310288	1	ENSG00000181847	1	unique_match	UKBB_EUR
OID31321	RNF4	P78317	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/RNF4_P78317_OID31321_v1_Oncology_II	4	2462220	2462220	2625320	1	ENSG00000063978	1	unique_match	UKBB_EUR
OID31322	SERPINH1	P50454	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SERPINH1_P50454_OID31322_v1_Oncology_II	11	75562056	75562056	75572783	1	ENSG00000149257	1	unique_match	UKBB_EUR
OID31323	SAP18	O00422	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SAP18_O00422_OID31323_v1_Oncology_II	13	21140514	21140514	21149084	1	ENSG00000150459	1	unique_match	UKBB_EUR
OID31324	RPE	Q96AT9	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/RPE_Q96AT9_OID31324_v1_Oncology_II	2	210002565	210002565	210022259	1	ENSG00000197713	1	unique_match	UKBB_EUR
OID31325	ITGAX	P20702	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ITGAX_P20702_OID31325_v1_Oncology_II	16	31355134	31355134	31382997	1	ENSG00000140678	1	unique_match	UKBB_EUR
OID31326	PTTG1	O95997	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/PTTG1_O95997_OID31326_v1_Oncology_II	5	160421822	160421822	160428744	1	ENSG00000164611	1	unique_match	UKBB_EUR
OID31327	MNAT1	P51948	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MNAT1_P51948_OID31327_v1_Oncology_II	14	60734742	60734742	60969953	1	ENSG00000020426	1	unique_match	UKBB_EUR
OID31328	CINP	Q9BW66	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CINP_Q9BW66_OID31328_v1_Oncology_II	14	102362916	102341102	102362916	-1	ENSG00000100865	1	unique_match	UKBB_EUR
OID31329	CENPF	P49454	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CENPF_P49454_OID31329_v1_Oncology_II	1	214603195	214603195	214664588	1	ENSG00000117724	1	unique_match	UKBB_EUR
OID31330	TNPO1	Q92973	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TNPO1_Q92973_OID31330_v1_Oncology_II	5	72816312	72816312	72916733	1	ENSG00000083312	1	unique_match	UKBB_EUR
OID31331	MAGEA3	P43357	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MAGEA3_P43357_OID31331_v1_Oncology_II	23	152698752	152698752	152702347	1	ENSG00000221867	1	unique_match	UKBB_EUR
OID31332	CDH22	Q9UJ99	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/CDH22_Q9UJ99_OID31332_v1_Oncology_II	20	46308498	46173733	46308498	-1	ENSG00000149654	1	unique_match	UKBB_EUR
OID31333	COL4A4	P53420	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/COL4A4_P53420_OID31333_v1_Oncology_II	2	227164113	227002711	227164113	-1	ENSG00000081052	2	multi_match_first	UKBB_EUR
OID31334	SH3GL3	Q99963	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/SH3GL3_Q99963_OID31334_v1_Oncology_II	15	83447228	83447228	83618743	1	ENSG00000140600	1	unique_match	UKBB_EUR
OID31335	TRDMT1	O14717	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TRDMT1_O14717_OID31335_v1_Oncology_II	10	17202054	17142254	17202054	-1	ENSG00000107614	1	unique_match	UKBB_EUR
OID31336	ARHGAP30	Q7Z6I6	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ARHGAP30_Q7Z6I6_OID31336_v1_Oncology_II	1	161069970	161046946	161069970	-1	ENSG00000186517	1	unique_match	UKBB_EUR
OID31337	RAPGEF2	Q9Y4G8	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/RAPGEF2_Q9Y4G8_OID31337_v1_Oncology_II	4	159104178	159104178	159360169	1	ENSG00000109756	1	unique_match	UKBB_EUR
OID31338	FAM171B	Q6P995	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/FAM171B_Q6P995_OID31338_v1_Oncology_II	2	186693971	186693971	186765965	1	ENSG00000144369	1	unique_match	UKBB_EUR
OID31339	ARG2	P78540	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/ARG2_P78540_OID31339_v1_Oncology_II	14	67619798	67619798	67651720	1	ENSG00000081181	1	unique_match	UKBB_EUR
OID31340	GPRC5C	Q9NQ84	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/GPRC5C_Q9NQ84_OID31340_v1_Oncology_II	17	74424851	74424851	74451653	1	ENSG00000170412	1	unique_match	UKBB_EUR
OID31341	DYNC1H1	Q14204	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/DYNC1H1_Q14204_OID31341_v1_Oncology_II	14	101964528	101964528	102050792	1	ENSG00000197102	1	unique_match	UKBB_EUR
OID31342	MAMDC4	Q6UXC1	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/MAMDC4_Q6UXC1_OID31342_v1_Oncology_II	9	136850943	136850943	136860799	1	ENSG00000177943	1	unique_match	UKBB_EUR
OID31343	TARS1	P26639	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/TARS1_P26639_OID31343_v1_Oncology_II							0	missing	UKBB_EUR
OID31344	LRRFIP1	Q32MZ4	v1	Oncology_II	/data/Dutta_lab/decode/ukb_ppp/EUR/LRRFIP1_Q32MZ4_OID31344_v1_Oncology_II	2	237627576	237627576	237813682	1	ENSG00000124831	1	unique_match	UKBB_EUR
