PROTEIN	GENE	CHR	START	END
SeqId_9076_25	PENK	8	56438510	56438510
SeqId_9077_10	MAN1A2	1	117367449	117367449
SeqId_9078_207	SNTB1	8	120693908	120693908
SeqId_9092_33	ANGPTL1	1	178869278	178869278
SeqId_9172_69	MMP8	11	102724781	102724781
SeqId_9173_21	PGM1	1	63593411	63593411
SeqId_9175_48	DSCAM	21	40353654	40353654
SeqId_9177_6	FAM3B	21	41304212	41304212
SeqId_9183_7	IFNAR1	21	33324429	33324429
SeqId_9185_15	TFF1	21	42366535	42366535
SeqId_9188_119	CXCL9	4	76007509	76007509
SeqId_9191_8	TFF2	21	42350994	42350994
SeqId_9196_8	LGALS7	19	38773432	38773432
SeqId_9197_4	LGALS9	17	27629798	27629798
SeqId_9201_13	TAGLN2	1	159923717	159923717
SeqId_9211_19	SERPINF1	17	1762029	1762029
SeqId_9212_22	CTSF	11	66566134	66566134
SeqId_9216_100	PLXNB2	22	50278840	50278840
SeqId_9223_11	MANF	3	51385291	51385291
SeqId_9231_23	IMPAD1	8	56980112	56980112
SeqId_9233_71	TFPI2	7	93890170	93890170
SeqId_9234_8	TWSG1	18	9334767	9334767
SeqId_9241_40	SIRPG	20	1630643	1630643
SeqId_9244_27	PPT1	1	40078835	40078835
SeqId_9251_28	MAN2B2	4	6575189	6575189
SeqId_9253_52	ABO	9	133275214	133275214
SeqId_9256_78	NPTX1	17	80474698	80474698
SeqId_9263_57	SIAE	11	124669612	124669612
SeqId_9264_11	CTSO	4	155953866	155953866
SeqId_9265_10	GLIPR1	12	75480753	75480753
SeqId_9266_1	TREM1	6	41281234	41281234
SeqId_9267_2	CPA4	7	130293134	130293134
SeqId_9278_9	CXCL12	10	44385043	44385043
SeqId_9282_12	CRISP2	6	49713543	49713543
SeqId_9288_7	FKBP7	2	178478317	178478317
SeqId_9294_45	MFAP2	1	16978276	16978276
SeqId_9297_12	B3GNT8	19	41427362	41427362
SeqId_9312_8	AZGP1	7	99967593	99967593
SeqId_9313_27	CBLN1	16	49281482	49281482
SeqId_9314_9	PSG5	19	43170565	43170565
SeqId_9316_67	WFDC1	16	84294846	84294846
SeqId_9321_400	NMB	15	84658199	84658199
SeqId_9326_33	ITIH2	10	7703316	7703316
SeqId_9329_28	TREML1	6	41151620	41151620
SeqId_9335_28	PSG9	19	43260746	43260746
SeqId_9337_43	TAC1	7	97732084	97732084
SeqId_9339_204	FKBP2	11	64241003	64241003
SeqId_9340_17	FKBP14	7	30026419	30026419
SeqId_9341_1	PDGFD	11	104037026	104037026
SeqId_9343_16	IL2RB	22	37136408	37136408
SeqId_9348_1	C1RL	12	7097258	7097258
SeqId_9350_3	FSTL4	5	133209895	133209895
SeqId_9357_4	CREG1	1	167553762	167553762
SeqId_9359_9	DLK2	6	43453085	43453085
SeqId_9360_33	EDIL3	5	84078828	84078828
SeqId_9368_64	LRTM1	3	54928059	54928059
SeqId_9369_174	LRRC4C	11	40241883	40241883
SeqId_9370_69	GGH	8	63017970	63017970
SeqId_9380_2	PLA2G12B	10	72954806	72954806
SeqId_9383_24	CHI3L2	1	111200771	111200771
SeqId_9385_4	GAA	17	80101556	80101556
SeqId_9388_18	MCEE	2	71118384	71118384
SeqId_9394_19	CPQ	8	96645242	96645242
SeqId_9398_30	GALP	19	56176008	56176008
SeqId_9401_57	TRABD2A	2	84835504	84835504
SeqId_9409_11	TPSAB1	16	1240705	1240705
SeqId_9416_77	CPM	12	68856544	68856544
SeqId_9449_150	C4BPA	1	207104233	207104233
SeqId_9459_7	FAS	10	88990531	88990531
SeqId_9468_8	LMAN2	5	177334552	177334552
SeqId_9470_15	METTL24	6	110357977	110357977
SeqId_9478_69	PRPSAP1	17	76313740	76313740
SeqId_9482_110	NUDT9	4	87422573	87422573
SeqId_9484_75	DSG2	18	31498177	31498177
SeqId_9525_1	PTK7	6	43076307	43076307
SeqId_9536_16	EDDM3A	14	20745887	20745887
SeqId_9545_156	GZMK	5	55024256	55024256
SeqId_9557_5	MANSC1	12	12338674	12338674
SeqId_9574_11	BIN1	2	127056491	127056491
SeqId_9578_263	MANSC4	12	27771276	27771276
SeqId_9580_5	LAMC2	1	183186238	183186238
SeqId_9595_11	B4GALT2	1	43978943	43978943
SeqId_9599_6	PIANP	12	6698306	6698306
SeqId_9638_2	TIGIT	3	114276913	114276913
SeqId_9713_67	PDGFRL	8	17576433	17576433
SeqId_9715_15	IGSF3	1	116646945	116646945
SeqId_9719_145	MMP16	8	88327206	88327206
SeqId_9744_139	DNAJA4	15	78264086	78264086
SeqId_9748_31	GSTM3	1	109738143	109738143
SeqId_9754_33	NQO2	6	2987987	2987987
SeqId_9769_48	DNER	2	229587177	229587177
SeqId_9772_153	NLGN2	17	7404874	7404874
SeqId_9790_28	BRSK2	11	1389899	1389899
SeqId_9793_145	IGDCC4	15	65385770	65385770
SeqId_9796_4	CEL	9	133061978	133061978
SeqId_9816_37	ISOC1	5	129094749	129094749
SeqId_9826_135	FHIT	3	60014150	60014150
SeqId_9829_91	SULT2A1	19	47886315	47886315
SeqId_9831_12	G3BP2	4	75649102	75649102
SeqId_9832_33	HGD	3	120641807	120641807
SeqId_9834_62	ADH1B	4	99318867	99318867
SeqId_9837_60	NQO1	16	69726506	69726506
SeqId_9838_4	SMAD1	4	145481194	145481194
SeqId_9839_148	TIRAP	11	126283065	126283065
SeqId_9843_5	ACTN1	14	68879022	68879022
SeqId_9846_32	ARHGDIB	12	14948896	14948896
SeqId_9848_22	CCNH	5	87377180	87377180
SeqId_9849_13	APEX1	14	20455191	20455191
SeqId_9870_17	WARS	14	100342534	100342534
SeqId_9876_20	ALDOC	17	28575914	28575914
SeqId_9877_28	CRKL	22	20917407	20917407
SeqId_9883_29	GLO1	6	38683215	38683215
SeqId_9884_8	PPIL1	6	36858635	36858635
SeqId_9886_28	XRCC4	5	83077498	83077498
SeqId_9894_13	MYO6	6	75749192	75749192
SeqId_9906_21	SPOCK3	4	167102557	167102557
SeqId_9910_9	MTAP	9	21802636	21802636
SeqId_9931_20	KRT1	12	52677517	52677517
SeqId_9932_49	SEMA4F	2	74654228	74654228
SeqId_9940_35	DUSP28	2	240560054	240560054
SeqId_9950_229	LAG3	12	6772512	6772512
SeqId_9962_1	CDHR5	11	621137	621137
SeqId_9981_18	KIAA1467	12	13044381	13044381
SeqId_9986_14	NPW	16	2009926	2009926
SeqId_9995_6	DUT	15	48331011	48331011
